year,tech_case_id,tech_case_cn,deployment_path_id,deployment_path_cn,cumulative_electrolyzer_gw,equipment_learning_rate,equipment_capex_factor,bop_epc_learning_rate,bop_epc_factor,energy_learning_rate,energy_consumption_factor,energy_consumption_kwh_per_kg,stack_cost_learning_rate,stack_cost_factor,stack_life_hours,energy_path_basis,life_path_basis,stack_learning_basis,deployment_interpretation
2036,T1_conservative,技术学习-保守,slow,低装机路径,212.0,0.08,0.65,0.02,0.8907250362033403,,0.960778246858136,52.84280357719748,0.08,0.65,74381.30948535014,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2037,T1_conservative,技术学习-保守,slow,低装机路径,234.0,0.08,0.65,0.02,0.8881654282404139,,0.9598028642837069,52.78915753560388,0.08,0.65,74738.9497626408,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2038,T1_conservative,技术学习-保守,slow,低装机路径,256.0,0.08,0.65,0.02,0.8858423808639999,,0.9589151908239743,52.74033549531858,0.08,0.65,75064.43003120947,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2039,T1_conservative,技术学习-保守,slow,低装机路径,278.0,0.08,0.65,0.02,0.8837163175587408,,0.9581007456113013,52.695541008621575,0.08,0.65,75363.05994252284,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2040,T1_conservative,技术学习-保守,slow,低装机路径,300.0,0.08,0.65,0.02,0.8817567973734576,,0.9573483621181522,52.65415991649837,0.08,0.65,75638.93389001083,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2041,T1_conservative,技术学习-保守,slow,低装机路径,340.0,0.08,0.65,0.02,0.878545966245231,,0.9561118994090388,52.58615446749714,0.08,0.65,76092.3035500191,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2042,T1_conservative,技术学习-保守,slow,低装机路径,380.0,0.08,0.65,0.02,0.8757024891636979,,0.9550131226696132,52.52572174682873,0.08,0.65,76495.18835447512,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2043,T1_conservative,技术学习-保守,slow,低装机路径,420.0,0.08,0.65,0.02,0.8731517284413465,,0.9540244173576167,52.47134295466892,0.08,0.65,76857.71363554052,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2044,T1_conservative,技术学习-保守,slow,低装机路径,460.0,0.08,0.65,0.02,0.8708396376956891,,0.9531257245900945,52.421914852455195,0.08,0.65,77187.23431696535,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2045,T1_conservative,技术学习-保守,slow,低装机路径,500.0,0.08,0.65,0.02,0.8687258325478786,,0.9523020136505498,52.37661075078024,0.08,0.65,77489.26166146509,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2046,T1_conservative,技术学习-保守,slow,低装机路径,540.0,0.08,0.65,0.02,0.8667793487989879,,0.9515417302702073,52.3347951648614,0.08,0.65,77768.03223425735,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2047,T1_conservative,技术学习-保守,slow,低装机路径,580.0,0.08,0.65,0.02,0.8649759275045882,,0.9508358008559206,52.29596904707563,0.08,0.65,78026.8730194958,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2048,T1_conservative,技术学习-保守,slow,低装机路径,620.0,0.08,0.65,0.02,0.8632962118263671,,0.9501769695447139,52.259733324959264,0.08,0.65,78268.44450027157,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2049,T1_conservative,技术学习-保守,slow,低装机路径,660.0,0.08,0.65,0.02,0.8617245114356735,,0.9495593429164317,52.225763860403745,0.08,0.65,78494.90759730835,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2050,T1_conservative,技术学习-保守,slow,低装机路径,700.0,0.08,0.65,0.02,0.8602479328657353,,0.9489780688900142,52.193793788950785,0.08,0.65,78708.04140699477,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2051,T1_conservative,技术学习-保守,slow,低装机路径,730.0,0.08,0.65,0.02,0.8591964041883988,,0.9485635126070769,52.17099319338923,0.08,0.65,78860.04537740513,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2052,T1_conservative,技术学习-保守,slow,低装机路径,760.0,0.08,0.65,0.02,0.8581884393804239,,0.9481656544736089,52.14911099604849,0.08,0.65,79005.92669301003,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2053,T1_conservative,技术学习-保守,slow,低装机路径,790.0,0.08,0.65,0.02,0.8572206172260224,,0.9477832012251273,52.128076067382,0.08,0.65,79146.15955078666,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2054,T1_conservative,技术学习-保守,slow,低装机路径,820.0,0.08,0.65,0.02,0.8562899026974934,,0.9474150042567885,52.10782523412337,0.08,0.65,79281.16510584422,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2055,T1_conservative,技术学习-保守,slow,低装机路径,850.0,0.08,0.65,0.02,0.8553935910482828,,0.947060038821893,52.08830213520412,0.08,0.65,79411.31909863921,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2056,T1_conservative,技术学习-保守,slow,低装机路径,880.0,0.08,0.65,0.02,0.8545292616587609,,0.9467173868399706,52.06945627619839,0.08,0.65,79536.9581586774,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2057,T1_conservative,技术学习-保守,slow,低装机路径,910.0,0.08,0.65,0.02,0.8536947396633056,,0.9463862225879663,52.05124224233815,0.08,0.65,79658.38505107899,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2058,T1_conservative,技术学习-保守,slow,低装机路径,940.0,0.08,0.65,0.02,0.8528880638368426,,0.9460658007131072,52.033619039220895,0.08,0.65,79775.87307186068,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2059,T1_conservative,技术学习-保守,slow,低装机路径,970.0,0.08,0.65,0.02,0.8521074595551223,,0.9457554461295775,52.016549537126764,0.08,0.65,79889.66975248826,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2060,T1_conservative,技术学习-保守,slow,低装机路径,1000.0,0.08,0.65,0.02,0.851351315896921,,0.9454545454545454,52.0,0.08,0.65,80000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2026,T2_base,技术学习-基准,base,基准装机路径,4.0,0.13,1.0,0.05,1.0,,1.0,55.0,0.13,1.0,60000.0,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2027,T2_base,技术学习-基准,base,基准装机路径,50.0,0.13,0.6020282270085557,0.05,0.8295222152229293,,0.9636109875258717,52.99860431392295,0.13,0.6020282270085557,72008.3741164623,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2028,T2_base,技术学习-基准,base,基准装机路径,80.0,0.13,0.55,0.05,0.8011669472539883,,0.9568394889462242,52.62617189204233,0.13,0.55,74242.968647746,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2029,T2_base,技术学习-基准,base,基准装机路径,110.0,0.13,0.55,0.05,0.7825075630627747,,0.9522514201446848,52.373828107957664,0.13,0.55,75757.031352254,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2030,T2_base,技术学习-基准,base,基准装机路径,140.0,0.13,0.55,0.05,0.768666699747022,,0.9487769181970699,52.182730500838844,0.13,0.55,76903.61699496696,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2031,T2_base,技术学习-基准,base,基准装机路径,196.0,0.13,0.55,0.05,0.7497638678177517,,0.9439292507949525,51.91610879372239,0.13,0.55,78503.34723766569,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2032,T2_base,技术学习-基准,base,基准装机路径,252.0,0.13,0.55,0.05,0.7359490569474036,,0.9403084802556269,51.71696641405948,0.13,0.55,79698.20151564316,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2033,T2_base,技术学习-基准,base,基准装机路径,308.0,0.13,0.55,0.05,0.7251011425473414,,0.9374173508158828,51.557954294873554,0.13,0.55,80652.27423075866,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2034,T2_base,技术学习-基准,base,基准装机路径,364.0,0.13,0.55,0.05,0.7161925480668415,,0.9350105470666517,51.42558008866584,0.13,0.55,81446.51946800499,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2035,T2_base,技术学习-基准,base,基准装机路径,420.0,0.13,0.55,0.05,0.7086484093952498,,0.9329488456261451,51.31218650943798,0.13,0.55,82126.88094337212,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2036,T2_base,技术学习-基准,base,基准装机路径,476.0,0.13,0.55,0.05,0.7021151077236094,,0.9311455786043619,51.2130068232399,0.13,0.55,82721.95906056059,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2037,T2_base,技术学习-基准,base,基准装机路径,532.0,0.13,0.55,0.05,0.6963598830394834,,0.9295431138928063,51.12487126410435,0.13,0.55,83250.7724153739,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2038,T2_base,技术学习-基准,base,基准装机路径,588.0,0.13,0.55,0.05,0.6912215301195486,,0.9281011782240278,51.04556480232153,0.13,0.55,83726.61118607083,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2039,T2_base,技术学习-基准,base,基准装机路径,644.0,0.13,0.55,0.05,0.686583879095038,,0.926790517564031,50.9734784660217,0.13,0.55,84159.12920386977,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2040,T2_base,技术学习-基准,base,基准装机路径,700.0,0.13,0.55,0.05,0.6823605022627364,,0.9255892109966634,50.90740660481649,0.13,0.55,84555.56037110108,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2041,T2_base,技术学习-基准,base,基准装机路径,770.0,0.13,0.55,0.05,0.6775647398454966,,0.9242160455421612,50.831882504818864,0.13,0.55,85008.70497108685,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2042,T2_base,技术学习-基准,base,基准装机路径,840.0,0.13,0.55,0.05,0.6732159889254873,,0.9229624436994605,50.762934403470325,0.13,0.55,85422.39357917805,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2043,T2_base,技术学习-基准,base,基准装机路径,910.0,0.13,0.55,0.05,0.6692401777294261,,0.9218092417929298,50.699508298611136,0.13,0.55,85802.95020833318,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
2044,T2_base,技术学习-基准,base,基准装机路径,980.0,0.13,0.55,0.05,0.665580087690738,,0.920741543594546,50.64078489770003,0.13,0.55,86155.2906137998,"DOE 2024 LA system BOL 55, interim 52, ultimate 48 kWh/kg; cases bracket these targets","DOE 2024 60,000 current and 80,000 target hours; World Bank 2026 60,000-90,000 current range; 100,000 is optimistic","Author-selected conditional stack-cost rate: 13% central, with 8% and 18% deterministic sensitivities; transferring published system-level evidence to replacement stacks is a modelling assumption, not an IEA stack-rate estimate","Only the rounded 4-GW end-2025 starting point is observed; later values are author-defined conditional scenarios, not probabilistic forecasts"
